run_name,K,seed,n_qubits,encoding,n_layers,n_params,rel_l2,max_abs,process_seconds,train_seconds
K1_seed1234,1,1234,2,angle,1,927,0.16530729830265045,0.5325970649719238,83.82384518699999,87.1007513999939
K1_seed2025,1,2025,2,angle,1,927,0.21599814295768738,0.572227418422699,84.533763293,87.87634706497192
K1_seed7,1,7,2,angle,1,927,0.16556109488010406,0.552321195602417,83.710498694,85.03521871566772
K2_seed1234,2,1234,4,angle,1,973,0.012553192675113678,0.04549143463373184,268.626906703,273.05919194221497
K2_seed2025,2,2025,4,angle,1,973,0.014694099314510822,0.055304188281297684,284.318611303,289.0166971683502
K2_seed7,2,7,4,angle,1,973,0.0448293462395668,0.2818604111671448,279.566697492,282.25529193878174
K3_seed1234,3,1234,2,reupload,3,939,0.06701665371656418,0.26098793745040894,211.438750842,215.8519322872162
K3_seed2025,3,2025,2,reupload,3,939,0.07972922921180725,0.26629638671875,213.080659253,215.31058025360107
K3_seed7,3,7,2,reupload,3,939,0.05719521641731262,0.1706441044807434,209.339586908,213.88599801063538
K4_seed1234,4,1234,4,reupload,2,985,0.011660528369247913,0.0584714375436306,502.77472679199997,508.35048246383667
K4_seed2025,4,2025,4,reupload,2,985,0.012935228645801544,0.05067969486117363,500.755661045,504.89539098739624
K4_seed7,4,7,4,reupload,2,985,0.010405845008790493,0.03706606477499008,474.296179273,480.19072699546814
K5_seed1234,5,1234,2,reupload,5,951,0.07399965822696686,0.2940320372581482,345.121858404,349.8186421394348
K5_seed2025,5,2025,2,reupload,5,951,0.07015509903430939,0.25337767601013184,341.72614764900004,344.8014943599701
K5_seed7,5,7,2,reupload,5,951,0.03647308051586151,0.23533688485622406,380.810484307,385.43016743659973
K8_seed1234,8,1234,4,reupload,4,1009,0.01811256818473339,0.09429304301738739,954.720365073,963.051689863205
K8_seed2025,8,2025,4,reupload,4,1009,0.006842931732535362,0.01957259327173233,910.760538175,916.9824914932251
K8_seed7,8,7,4,reupload,4,1009,0.022620592266321182,0.09455933421850204,1172.627795594,1182.2414610385895
